0.7859	0.7823	0.7824	0.7825	0.7826	0.7826	0.7824	0.7830	0.7828	0.7830	0.7827	0.7825	0.7827	0.7829	0.7826	0.7827	0.7822
0.7823	0.7859	0.7825	0.7826	0.7826	0.7824	0.7824	0.7828	0.7829	0.7827	0.7825	0.7827	0.7829	0.7826	0.7827	0.7828	0.7823
0.7824	0.7825	0.7859	0.7826	0.7824	0.7824	0.7822	0.7829	0.7826	0.7825	0.7827	0.7827	0.7826	0.7827	0.7827	0.7827	0.7824
0.7825	0.7826	0.7826	0.7859	0.7824	0.7823	0.7826	0.7826	0.7825	0.7828	0.7827	0.7826	0.7827	0.7828	0.7828	0.7827	0.7825
0.7826	0.7826	0.7824	0.7824	0.7862	0.7826	0.7827	0.7827	0.7828	0.7827	0.7827	0.7827	0.7827	0.7828	0.7826	0.7825	0.7826
0.7826	0.7824	0.7824	0.7823	0.7826	0.7860	0.7824	0.7829	0.7826	0.7828	0.7827	0.7827	0.7828	0.7826	0.7825	0.7824	0.7826
0.7824	0.7824	0.7822	0.7826	0.7827	0.7824	0.7859	0.7827	0.7827	0.7828	0.7827	0.7827	0.7825	0.7826	0.7824	0.7825	0.7824
0.7830	0.7828	0.7829	0.7826	0.7827	0.7829	0.7827	0.7861	0.7835	0.7834	0.7833	0.7834	0.7833	0.7833	0.7832	0.7833	0.7830
0.7828	0.7829	0.7826	0.7825	0.7828	0.7826	0.7827	0.7835	0.7861	0.7833	0.7834	0.7833	0.7832	0.7833	0.7833	0.7834	0.7828
0.7830	0.7827	0.7825	0.7828	0.7827	0.7828	0.7828	0.7834	0.7833	0.7860	0.7833	0.7833	0.7833	0.7833	0.7834	0.7836	0.7830
0.7827	0.7825	0.7827	0.7827	0.7827	0.7827	0.7827	0.7833	0.7834	0.7833	0.7859	0.7833	0.7833	0.7834	0.7836	0.7834	0.7827
0.7825	0.7827	0.7827	0.7826	0.7827	0.7827	0.7827	0.7834	0.7833	0.7833	0.7833	0.7859	0.7834	0.7835	0.7834	0.7834	0.7825
0.7827	0.7829	0.7826	0.7827	0.7827	0.7828	0.7825	0.7833	0.7832	0.7833	0.7833	0.7834	0.7857	0.7834	0.7834	0.7834	0.7827
0.7829	0.7826	0.7827	0.7828	0.7828	0.7826	0.7826	0.7833	0.7833	0.7833	0.7834	0.7835	0.7834	0.7858	0.7834	0.7834	0.7829
0.7826	0.7827	0.7827	0.7828	0.7826	0.7825	0.7824	0.7832	0.7833	0.7834	0.7836	0.7834	0.7834	0.7834	0.7858	0.7832	0.7826
0.7827	0.7828	0.7827	0.7827	0.7825	0.7824	0.7825	0.7833	0.7834	0.7836	0.7834	0.7834	0.7834	0.7834	0.7832	0.7857	0.7827
0.7822	0.7823	0.7824	0.7825	0.7826	0.7826	0.7824	0.7830	0.7828	0.7830	0.7827	0.7825	0.7827	0.7829	0.7826	0.7827	0.7859
