1.7977	10.5054	9.6002	10.5051	9.5484	9.5429	9.8362	9.4931	9.4934	8.5262	8.5262	8.4623	8.5126	8.3802	8.3770	8.3441	9.6004
10.5054	1.7976	10.5051	9.5484	9.5429	9.8362	9.8364	9.3945	8.5262	8.5172	8.4623	8.3804	8.3802	8.3771	8.3441	8.3831	10.5054
9.6002	10.5051	2.6357	9.5429	9.8362	9.8364	9.5963	8.5262	8.5172	8.5125	8.3804	8.3771	8.3771	8.3441	8.3831	8.3833	9.6002
10.5051	9.5484	9.5429	2.6357	9.8364	9.5963	9.5945	8.5172	8.5125	8.3802	8.3771	8.3771	8.3439	8.3831	8.3771	7.6252	10.5051
9.5484	9.5429	9.8362	9.8364	2.6329	9.5945	9.1203	8.5126	8.3802	8.3770	8.3771	8.4264	8.3831	8.3771	7.6252	8.2833	9.5484
9.5429	9.8362	9.8364	9.5963	9.5945	2.1262	9.1205	8.3802	8.3770	8.3441	8.3831	8.3831	8.3771	8.2186	8.2833	8.1421	9.5429
9.8362	9.8364	9.5963	9.5945	9.1203	9.1205	2.6338	8.3770	8.3441	8.3834	8.3831	8.3771	8.5174	8.2833	8.1421	8.1412	9.8362
9.4931	9.3945	8.5262	8.5172	8.5126	8.3802	8.3770	0.8564	8.2598	8.0308	8.0308	8.4248	8.4356	8.2595	8.5760	8.5693	9.4931
9.4934	8.5262	8.5172	8.5125	8.3802	8.3770	8.3441	8.2598	0.5504	8.0308	8.4248	8.4356	8.2595	8.5760	8.5693	7.7964	9.4934
8.5262	8.5172	8.5125	8.3802	8.3770	8.3441	8.3834	8.0308	8.0308	0.8652	8.4356	8.2595	8.5760	8.5693	7.7964	8.4760	8.5262
8.5262	8.4623	8.3804	8.3771	8.3771	8.3831	8.3831	8.0308	8.4248	8.4356	0.8612	8.5760	8.5693	7.7964	8.4760	8.4809	8.5262
8.4623	8.3804	8.3771	8.3771	8.4264	8.3831	8.3771	8.4248	8.4356	8.2595	8.5760	0.8611	7.7964	8.4760	8.4809	8.4809	8.4623
8.5126	8.3802	8.3771	8.3439	8.3831	8.3771	8.5174	8.4356	8.2595	8.5760	8.5693	7.7964	0.8611	8.4809	8.4809	8.4989	8.5126
8.3802	8.3771	8.3441	8.3831	8.3771	8.2186	8.2833	8.2595	8.5760	8.5693	7.7964	8.4760	8.4809	1.6024	8.4989	8.4989	8.3802
8.3770	8.3441	8.3831	8.3771	7.6252	8.2833	8.1421	8.5760	8.5693	7.7964	8.4760	8.4809	8.4809	8.4989	1.7663	8.5002	8.3770
8.3441	8.3831	8.3833	7.6252	8.2833	8.1421	8.1412	8.5693	7.7964	8.4760	8.4809	8.4809	8.4989	8.4989	8.5002	1.5144	8.3441
9.6004	10.5054	9.6002	10.5051	9.5484	9.5429	9.8362	9.4931	9.4934	8.5262	8.5262	8.4623	8.5126	8.3802	8.3770	8.3441	1.7977
