-3.0925	-4.9762	-4.9764	-4.9759	-4.9539	-4.9562	-4.8535	-5.0826	-5.0826	-5.0374	-5.0373	-5.0046	-5.0297	-4.9689	-4.9700	-4.7616	-4.9768
-4.9762	-3.0923	-4.9759	-4.9539	-4.9562	-4.8535	-4.8538	-5.0445	-5.0373	-5.0280	-5.0046	-4.9693	-4.9689	-4.9700	-4.7616	-4.9674	-4.9762
-4.9764	-4.9759	-2.9828	-4.9562	-4.8535	-4.8538	-4.9784	-5.0373	-5.0280	-5.0296	-4.9693	-4.9700	-4.9700	-4.7616	-4.9674	-4.9677	-4.9764
-4.9759	-4.9539	-4.9562	-2.9828	-4.8538	-4.9784	-4.9727	-5.0280	-5.0296	-4.9690	-4.9700	-4.9701	-4.7613	-4.9674	-4.9701	-4.6853	-4.9759
-4.9539	-4.9562	-4.8535	-4.8538	-2.9865	-4.9727	-4.7154	-5.0297	-4.9690	-4.9700	-4.9701	-4.7054	-4.9674	-4.9701	-4.6853	-4.4318	-4.9539
-4.9562	-4.8535	-4.8538	-4.9784	-4.9727	-3.0682	-4.7158	-4.9690	-4.9700	-4.7616	-4.9674	-4.9674	-4.9701	-4.6673	-4.4318	-4.7011	-4.9562
-4.8535	-4.8538	-4.9784	-4.9727	-4.7154	-4.7158	-2.9851	-4.9700	-4.7616	-4.9677	-4.9674	-4.9701	-4.4254	-4.4318	-4.7011	-4.7010	-4.8535
-5.0826	-5.0445	-5.0373	-5.0280	-5.0297	-4.9690	-4.9700	-3.0909	-5.2699	-5.2957	-5.2957	-5.2505	-5.2591	-5.2704	-5.2288	-5.2186	-5.0826
-5.0826	-5.0373	-5.0280	-5.0296	-4.9690	-4.9700	-4.7616	-5.2699	-2.9984	-5.2957	-5.2505	-5.2591	-5.2704	-5.2288	-5.2186	-4.8780	-5.0826
-5.0374	-5.0280	-5.0296	-4.9690	-4.9700	-4.7616	-4.9677	-5.2957	-5.2957	-3.4198	-5.2591	-5.2704	-5.2288	-5.2186	-4.8780	-3.8157	-5.0374
-5.0373	-5.0046	-4.9693	-4.9700	-4.9701	-4.9674	-4.9674	-5.2957	-5.2505	-5.2591	-3.4262	-5.2288	-5.2186	-4.8780	-3.8157	-3.8129	-5.0373
-5.0046	-4.9693	-4.9700	-4.9701	-4.7054	-4.9674	-4.9701	-5.2505	-5.2591	-5.2704	-5.2288	-3.4260	-4.8780	-3.8157	-3.8129	-3.8129	-5.0046
-5.0297	-4.9689	-4.9700	-4.7613	-4.9674	-4.9701	-4.4254	-5.2591	-5.2704	-5.2288	-5.2186	-4.8780	-3.4259	-3.8129	-3.8129	-3.6545	-5.0297
-4.9689	-4.9700	-4.7616	-4.9674	-4.9701	-4.6673	-4.4318	-5.2704	-5.2288	-5.2186	-4.8780	-3.8157	-3.8129	-1.9580	-3.6545	-3.6545	-4.9689
-4.9700	-4.7616	-4.9674	-4.9701	-4.6853	-4.4318	-4.7011	-5.2288	-5.2186	-4.8780	-3.8157	-3.8129	-3.8129	-3.6545	-2.2356	-3.6534	-4.9700
-4.7616	-4.9674	-4.9677	-4.6853	-4.4318	-4.7011	-4.7010	-5.2186	-4.8780	-3.8157	-3.8129	-3.8129	-3.6545	-3.6545	-3.6534	-1.8977	-4.7616
-4.9768	-4.9762	-4.9764	-4.9759	-4.9539	-4.9562	-4.8535	-5.0826	-5.0826	-5.0374	-5.0373	-5.0046	-5.0297	-4.9689	-4.9700	-4.7616	-3.0925
